station;species;fraction;density_50cm3;raw_density
st6;Siphonaperta agglutinata;63-100;0;0
st6;Spiroplectammina biformis;63-100;337.4346777;429
st6;Textularia earlandi;63-100;350.0098831;445
st6;Textularia torquata;63-100;98.50577548;125
st6;Trochammina inflata;63-100;0;0
st6;Trochammina sp.;63-100;2.095867563;3
st7;Ammonia sp.;63-100;0;0
st7;Astrononion galloway;63-100;0;0
st7;Astrononion sp.;63-100;0;0
st7;Baculogypsinoides sp.;63-100;0;0
st7;Bolivina pseudopunctata;63-100;1.571900673;2
st7;Buccella sp.;63-100;0;0
st7;Buccella frigida;63-100;0;0
st7;Cassidulina reniforme;63-100;166.6214713;212
st7;Cassidulina sp.;63-100;0;0
st7;Cassidulina sp. morphotype 1;63-100;0;0
st7;Cassidulina sp. morphotype 2;63-100;0;0
st7;Cassidulina neoteretis;63-100;0;0
st7;Cibicides bertheloti;63-100;0;0
st7;Cibicidoides lobatulus;63-100;0;0
st7;Dentalina ittai;63-100;0;0
st7;Discorbina sp.;63-100;0;0
st7;Elphidium bartletti;63-100;0;0
st7;Elphidium clavatum;63-100;0;0
st7;Elphidium sp.;63-100;11.78925504;15
st7;Epistominella exigua;63-100;0;0
st7;Eponides sp.;63-100;0;0
st7;Fissurina sp.;63-100;1.571900673;2
st7;Globobulimina auriculata;63-100;0;0
st7;Globobulimina sp.;63-100;0;0
st7;Globocassidulina sp.;63-100;0.785950336;1
st7;Hyalinonetrion sp.;63-100;0;0
st7;Islandiella helenae;63-100;0;0
st7;Islandiella norcrossi;63-100;0;0
st7;Islandiella sp.;63-100;0;0
st7;Lagena striata;63-100;0;0
st7;Lotostomoides calomorphum;63-100;0;0
st7;Nonion commune;63-100;0;0
st7;Nonion sp.;63-100;0;0
st7;Nonionella digitata;63-100;0;0
st7;Nonionella turgida;63-100;0;0
st7;Nonionellina labradorica;63-100;0;0
st7;Procerolagena gracilis (strie);63-100;0;0
st7;Pullenia cf osloensis;63-100;0;0
st7;Melonis pompilioides;63-100;0;0
st7;Pyrulina cilindroides;63-100;6.28760269;8
st7;Pyrulina sp.;63-100;0;0
st7;Robertina arctica;63-100;0;0
st7;Stainforthia feylingi;63-100;48.72892085;62
st7;Stainforthia loeblichi;63-100;0;0
st7;Trifarina fluens;63-100;0;0
st7;Cornuspira foliacea;63-100;0;0
st7;Cornuspira involvens;63-100;0;0
st7;Cornuspira sp.;63-100;0;0
st7;Miliolinella circularis;63-100;0;0
st7;Miliolinella sp.;63-100;0;0
st7;Miliolinella sp. juvanile;63-100;0;0
st7;Pyrgo williamsoni;63-100;0;0
st7;Quinqueloculina arctica;63-100;0;0
st7;Quinqueloculina seminula;63-100;0;0
st7;Quinqueloculina stalkeri;63-100;33.00991412;42
st7;Triloculina oblonga;63-100;1.571900673;2
st7;Triloculina trihedra;63-100;0;0
st7;Adercotryma glomeratum;63-100;0;0
st7;Ammodiscus sp.;63-100;0;0
st7;Ammotium cassis;63-100;0;0
st7;Capsammina bowmanni;63-100;12.57520538;16
st7;Cuneata arctica;63-100;3.143801345;4
st7;Eggerella advena;63-100;0;0
st7;Glomospira sp.;63-100;0;0
st7;Haplophragmoides sp.;63-100;0;0
st7;Hippocrepina sp.;63-100;0;0
st7;Hormosina globulifera;63-100;0;0
st7;Labrospira crassimargo;63-100;0;0
st7;Lagenammina difflugiformis;63-100;0;0
st7;Leptohalysis scottii;63-100;4.715702018;6
st7;Paratrochammina sp.;63-100;0;0
st7;Psammosphaera fusca;63-100;0;0
st7;Recurvoides turbinatus;63-100;0;0
st7;Reophax fusiformis;63-100;0;0
st7;Reophax catella;63-100;0;0
st7;Reophax scorpiurus;63-100;0;0
st7;Reophax sp.;63-100;0;0
st7;Saccammina cf. sphaerica;63-100;0;0
st7;Silicosigmoilina groenlandica;63-100;0;0
st7;Siphonaperta agglutinata;63-100;0;0
st7;Spiroplectammina biformis;63-100;45.5851195;58
st7;Textularia earlandi;63-100;202.7751868;258
st7;Textularia torquata;63-100;0;0
st7;Trochammina inflata;63-100;0;0
st7;Trochammina sp.;63-100;0;0
st8;Ammonia sp.;63-100;0;0
st8;Astrononion galloway;63-100;0;0
st8;Astrononion sp.;63-100;186.5322131;237
st8;Baculogypsinoides sp.;63-100;0;0
st8;Bolivina pseudopunctata;63-100;287.1338562;365
st8;Buccella sp.;63-100;0;0
st8;Buccella frigida;63-100;0;0
st8;Cassidulina reniforme;63-100;165.5735375;211
st8;Cassidulina sp.;63-100;0;0
st8;Cassidulina sp. morphotype 1;63-100;0;0
st8;Cassidulina sp. morphotype 2;63-100;2.095867563;3
st8;Cassidulina neoteretis;63-100;0;0
st8;Cibicides bertheloti;63-100;0;0
st8;Cibicidoides lobatulus;63-100;0;0
st8;Dentalina ittai;63-100;0;0
st8;Discorbina sp.;63-100;0;0
st8;Elphidium bartletti;63-100;0;0
st8;Elphidium clavatum;63-100;0;0
st8;Elphidium sp.;63-100;6.28760269;8
st8;Epistominella exigua;63-100;108.9851133;139
st8;Eponides sp.;63-100;2.095867563;3
