station;layer (cm);fraction (µm);Adercotryma glomeratum;Ammodiscus sp.;Ammonia sp.;Ammotium cassis;Astrononion gallowayi;Astrononion sp.;Baculogypsinoides sp.;Bolivina pseudopunctata;Buccella frigida;Buccella sp.;Capsammina bowmanni;Cassidulina neoteretis;Cassidulina reniforme;Cassidulina sp.;Cassidulina sp. morphotype 1;Cassidulina sp. morphotype 2;Cibicidoides lobatulus;Cornuspira foliacea;Cornuspira involvens;Cornuspira sp.;Cuneata arctica;Dentalina ittai;Discorbina sp.;Discorbinella bertheloti;Eggerella advena;Elphidium bartletti;Elphidium clavatum;Elphidium sp.;Epistominella exigua;Eponides sp.;Fissurina sp.;Globobulimina auriculata;Globobulimina sp.;Globocassidulina sp.;Glomospira sp.;Haplophragmoides sp.;Hippocrepina sp. ;Hormosina globulifera;Hyalinonetrion sp.;Islandiella helenae;Islandiella norcrossi;Islandiella sp.;Labrospira crassimargo;Lagena striata;Lagenammina atlantica;Leptohalysis scottii ;Lotostomoides calomorpha;Melonis cf. barleeanus;Miliolinella circularis;Miliolinella sp.;Miliolinella sp. (juvenile);Nonion commune;Nonion sp.;Nonionella digitata;Nonionella turgida;Nonionellina labradorica;Paratrochammina sp.;Procerolagena gracilis;Psammosphaera fusca;Pullenia cf. osloensis;Pyrgo williamsoni;Pyrulina cylindroides;Pyrulina sp.;Quinqueloculina arctica;Quinqueloculina seminula;Quinqueloculina stalkeri;Recurvoides turbinatus;Reophax catella;Reophax fusiformis;Reophax scorpiurus;Reophax sp. ;Robertina arctica;Saccammina cf. sphaerica;Silicosigmoilina groenlandica;Siphonaperta agglutinata;Spiroplectammina biformis;Stainforthia feylingi;Stainforthia loeblichi;Textularia earlandi;Textularia torquata;Trifarina fluens;Triloculina oblonga;Triloculina trihedra;Trochammina inflata;Trochammina sp.
St7;0.0-0.5;100-125;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.20;0.00;34.27;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.31;0.00;0.00;0.00;0.00;0.00;0.00;1.26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.31;0.00;0.00;0.00;0.00;0.00;0.94;0.00;0.00;0.00;4.72;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.89;0.00;0.00;23.58;0.00;0.00;0.63;0.00;0.00;0.00
St7;0.5-1.0;100-125;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.31;0.00;1.26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.89;0.00;0.00;0.94;0.00;0.00;0.00;0.00;0.00;0.00
St8;0.0-0.5;100-125;25.15;2.52;0.00;0.00;2.52;13.83;0.00;2.52;1.26;0.00;0.00;0.00;10.06;0.00;0.00;1.26;1.26;0.00;2.52;0.00;3.77;0.00;0.00;0.00;3.77;0.00;0.00;0.00;10.06;0.00;0.00;0.00;0.00;0.00;1.26;0.00;0.00;0.00;0.00;5.03;3.77;0.00;0.00;0.00;1.26;0.00;0.00;77.97;0.00;0.00;0.00;0.00;0.00;0.00;1.26;46.53;0.00;3.77;0.00;85.51;6.29;0.00;1.26;0.00;0.00;7.55;0.00;0.00;10.06;0.00;0.00;0.00;0.00;0.00;0.00;22.64;0.00;20.12;16.35;0.00;0.00;0.00;0.00;0.00;0.00
St8;0.5-1.0;100-125;4.40;0.31;0.00;0.00;0.00;11.32;0.00;0.00;0.00;0.00;0.00;0.00;0.63;0.00;0.00;0.94;0.00;0.00;0.00;0.31;0.00;0.00;0.00;0.00;0.94;0.00;0.00;0.00;0.94;0.00;0.00;0.00;0.00;0.00;0.31;0.00;0.00;0.00;0.00;0.63;0.00;0.31;0.31;0.00;0.94;0.00;0.00;8.49;0.00;0.00;0.00;0.00;0.00;0.00;0.31;35.52;0.00;0.00;0.00;10.69;0.94;0.00;0.00;0.00;0.00;0.31;0.00;0.00;0.63;0.00;0.00;0.00;0.00;0.00;0.00;1.57;0.00;5.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00
St9;0.0-0.5;100-125;9.75;1.57;0.00;0.00;0.00;2.52;0.00;0.63;0.00;0.00;0.00;0.00;14.15;0.00;0.00;0.31;2.83;0.00;0.00;0.00;2.83;0.00;0.00;0.00;0.63;0.00;0.00;0.00;4.09;0.00;0.00;0.00;0.00;0.00;0.63;0.31;0.00;0.00;0.00;0.63;0.00;2.83;0.00;0.00;5.97;0.00;0.00;11.95;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11.95;0.31;0.00;0.31;7.86;0.00;0.00;0.00;0.00;0.31;0.94;0.63;1.57;7.55;0.00;0.00;0.00;0.00;0.00;0.00;2.83;0.31;3.77;2.52;0.00;0.00;0.00;0.00;0.00;0.00
St9;0.5-1.0;100-125;7.23;0.00;0.00;0.00;0.00;1.89;0.00;1.26;0.31;0.00;0.00;0.00;4.09;0.00;0.00;0.31;1.57;0.00;0.00;0.00;0.31;0.00;0.00;0.31;0.31;0.00;0.00;0.00;0.94;0.00;0.00;0.00;0.00;0.00;0.00;0.31;0.31;0.00;0.00;0.31;0.00;0.31;0.00;0.00;2.20;0.00;0.00;7.23;0.00;0.00;0.00;0.31;0.00;0.00;0.00;9.12;0.31;0.00;0.00;1.89;0.00;0.00;0.00;0.00;0.31;0.00;0.31;0.00;1.89;0.00;0.00;0.00;0.00;0.31;0.00;0.63;0.31;1.57;0.63;0.00;0.31;0.00;0.00;0.00;0.00
St1;0.0-0.5 ;63-100;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.06;0.00;0.00;0.00;0.00;52.82;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23.89;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;71.05;3.77;4.40;96.20;0.00;0.00;0.00;0.00;0.00;0.00
St1;0.5-1.0 ;63-100;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.57;0.00;0.00;0.00;0.00;5.97;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.89;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.31;0.00;0.00;0.00;0.00;0.00;2.52;0.00;0.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.34;3.77;0.63;11.63;0.00;0.00;0.00;0.00;0.00;0.00
St2;0.0-0.5 ;63-100;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.63;0.00;0.00;272.88;0.00;1.26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.89;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.66;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.26;0.00;0.00;22.64;0.00;0.00;0.00;0.00;0.00;0.00
St2;0.5-1.0;63-100;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.31;0.00;0.00;5.66;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.83;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.57;0.00;0.00;0.00;0.00;0.00;0.00
